Spec., Epochs, Batch Size, Learning Rate, No. of Clauses, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Skolem Function Vector, Result, Time, Final Loss, Loss Drop, Accuracy
ex4.v, 119, 32, 0.001, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 40.870556354522705, 0.05415630184073417, 0.00941152656711905, 1.0
ex4.v, 3, 32, 0.1, 1, 1, 1, 0, {1: '\n'}, empty string, 0.6213259696960449, 0.05082146391071375, 0.017289154913591717, 1.0
ex4.v, 101, 32, 0.1, 1, 1, 1, 0, {1: '\n'}, empty string, 32.82321739196777, 0.00031862228887658017, 0.07602558644664743, 1.0
ex4.v, 1, 32, 0.1, 1, 1, 1, 0, {1: '\n'}, empty string, 0.45471763610839844, 0.012424128658814685, 0.0, 1.0
ex4.v, 1, 32, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6238408088684082, 0.09369603670361941, 0.0, 1.0
ex4.v, 1, 32, 0.1, 1, 1, 1, 0, {1: '\n'}, empty string, 0.4280524253845215, 0.008476619386348895, 0.0, 1.0
ex4.v, 4, 32, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.8819513320922852, 0.2261310509603765, 0.23370308579773674, 1.0
ex4.v, 6, 32, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 1.0677859783172607, 0.3954259109521083, 0.4703786480428214, 1.0
ex4.v, 8, 32, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 1.2617745399475098, 0.11174646502185348, 0.3558643809924426, 1.0
ex4.v, 4, 32, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.8934335708618164, 0.2801448109566409, 0.4825124456294312, 1.0
ex4.v, 8, 32, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 1.266202688217163, 0.1304771693018442, 0.46669283487357094, 1.0
ex4.v, 29, 32, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 4.776749134063721, 0.10060700782033424, 0.39939299217966573, 1.0
ex4.v, 14, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 1.9937658309936523, 0.20168008805246337, 0.7983199119475366, 1.0
ex4.v, 6, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 1.0582313537597656, 0.2085423306541823, 0.7914576693458177, 1.0
ex4.v, 108, 2, 0.01, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 35.46966576576233, 0.1005461697032868, 0.3994538302967132, 1.0
ex4.v, 29, 2, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 4.709669828414917, 0.1041467271156277, 0.39585327288437233, 1.0
ex4.v, 13, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 1.8132996559143066, 0.23853186957674832, 0.7614681304232517, 1.0
ex4.v, 6, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 1.0633602142333984, 0.21326950918585474, 0.7867304908141453, 1.0
ex4.v, 5, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 1.0229160785675049, 0.16777217593750038, 0.8322278240624996, 1.0
ex4.v, 1, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.6010634899139404, 0, 0, 1.0
ex4.v, 6, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 1.0760273933410645, 0.4516637456751133, 1.5483362543248866, 1.0
ex4.v, 5, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.959895133972168, 0.1677721271093766, 0.8322278728906234, 1.0
ex4.v, 13, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 1.8491203784942627, 0.23571985379971477, 0.8046811362324819, 1.0
ex4.v, 6, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 1.0476913452148438, 0.19252569154929916, 0.8470753088302632, 1.0
ex4.v, 5, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.9680986404418945, 0.16239612286916838, 0.8376038771308325, 1.0
ex4.v, 1, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.6001524925231934, 0.0, 0.0, 1.0
ex4.v, 53, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 11.539085149765015, 0.2055488060038106, 0.7944521939704403, 1.0
ex4.v, 6, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 1.070218801498413, 0.4693790582170372, 1.5306209417829628, 1.0
ex4.v, 27, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 4.378995656967163, 0.4983494018140009, 0.5016506240302008, 1.0
