Verilog File Name, Num of Vars, Epochs, Samples Enumerated, Synthesis Time
amba3b5y.sat.v,93,50,100000,3674.1714837551117
sample1_preprocessed.v,3,50,100000,0.0829770565032959
sample3_preprocessed.v,4,50,100000,0.08721137046813965
sample5_preprocessed.v,5,50,100000,0.09389686584472656
sample7_preprocessed.v,13,50,5000000,0.16773223876953125
sample8_preprocessed.v,66,50,100000,62.413578748703
sample2_preprocessed.v,3,50,20000,0.2010045051574707
sample2_preprocessed.v,3,50,20000,0.19935393333435059
sample2_preprocessed.v,3,50,20000,0.1588432788848877
sample2_preprocessed.v,3,50,20000,0.12198805809020996
sample2_preprocessed.v,3,50,20000,0.2157459259033203
sample2_preprocessed.v,3,50,20000,0.14686226844787598
sample2_preprocessed.v,3,50,20000,0.09624767303466797
sample2_preprocessed.v,3,50,20000,0.2400362491607666
sample2_preprocessed.v,3,50,20000,0.18263959884643555
sample2_preprocessed.v,3,50,20000,0.1240534782409668
sample2_preprocessed.v,3,50,20000,0.15587449073791504
sample2_preprocessed.v,3,50,20000,0.1314384937286377
sample1_preprocessed.v,3,50,20000,0.24921679496765137
sample1_preprocessed.v,3,50,20000,0.23783445358276367
sample1_preprocessed.v,3,50,20000,0.2396397590637207
amba2f9n.sat.v,79,50,20000,142.06115102767944
sample1_preprocessed.v,3,50,20000,0.29661035537719727
sample1_preprocessed.v,3,50,20000,0.24456381797790527
sample1_preprocessed.v,3,50,20000,0.2612760066986084
sample1_preprocessed.v,3,50,20000,0.26179051399230957
sample1_preprocessed.v,3,50,20000,0.23806023597717285
sample1_preprocessed.v,3,50,20000,0.2532317638397217
sample1_preprocessed.v,3,50,20000,0.24588394165039062
sample1_preprocessed.v,3,50,100000,0.25245141983032227
sample1_preprocessed.v,3,50,100000,0.24646759033203125
sample1_preprocessed.v,3,50,100000,0.2354898452758789
sample1_preprocessed.v,3,50,100000,0.20051813125610352
sample1_preprocessed.v,3,50,100000,0.1978142261505127
sample1_preprocessed.v,3,50,100000,0.19339728355407715
sample1_preprocessed.v,3,50,100000,0.2530343532562256
sample1_preprocessed.v,3,50,500000,0.1895298957824707
sample1_preprocessed.v,3,50,50000,0.1689291000366211
sample7_preprocessed.v,13,50,50000,1.8604297637939453
sample7_preprocessed.v,13,50,50000,0.5192663669586182
sample7_preprocessed.v,13,50,100000,0.45925045013427734
sample7_preprocessed.v,13,50,1000000,0.4362950325012207
sample7_preprocessed.v,13,50,10000000,0.44465208053588867
sample7_preprocessed.v,13,50,10000000,0.4663369655609131
sample7_preprocessed.v,13,50,10000000,0.4284327030181885
sample1_preprocessed.v,3,50,50000,0.20041751861572266
sample1_preprocessed.v,3,50,50000,0.17795944213867188
sample1_preprocessed.v,3,50,50000,0.17934417724609375
sample1_preprocessed.v,3,20,50000,0.19112610816955566
sample1_preprocessed.v,3,20,50000,0.1820087432861328
sample1_preprocessed.v,3,20,50000,0.17832136154174805
sample1_preprocessed.v,3,20,50000,0.1932215690612793
sample1_preprocessed.v,3,20,10000,0.20238995552062988
sample1_preprocessed.v,3,20,10000,0.20679354667663574
sample1_preprocessed.v,3,20,10000,0.19942355155944824
sample1_preprocessed.v,3,20,10000,0.17423224449157715
sample1_preprocessed.v,3,20,10000,0.19065165519714355
sample1_preprocessed.v,3,20,10000,0.17320919036865234
sample1_preprocessed.v,3,20,10000,0.2236804962158203
sample1_preprocessed.v,3,20,10000,0.19407939910888672
sample1_preprocessed.v,3,20,10000,0.20854926109313965
sample1_preprocessed.v,3,20,10000,0.18360495567321777
sample1_preprocessed.v,3,20,10000,0.17661643028259277
sample1_preprocessed.v,3,20,10000,0.1719517707824707
sample1_preprocessed.v,3,20,10000,0.17475318908691406
sample1_preprocessed.v,3,20,50000,0.17608213424682617
sample1_preprocessed.v,3,20,50000,0.179581880569458
sample1_preprocessed.v,3,20,50000,0.17578601837158203
sample1_preprocessed.v,3,20,50000,0.17943549156188965
sample1_preprocessed.v,3,20,50000,0.24238991737365723
sample1_preprocessed.v,3,20,50000,0.19205975532531738
sample1_preprocessed.v,3,20,50000,0.2257218360900879
